ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGID	COGIDS	ALIGNMENT	AUTOCOGID
1458	Shanenawa	fruit	fimi	fimi	f i m i	None	508		['f', 'i', 'm', 'i', '(', '-', ')']	149
1459	Katukina	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
1460	Amawaka	fruit	wimi	wimi	w i m i	None	508		['w', 'i', 'm', 'i', '(', '-', ')']	149
1461	Kaxinawa	fruit	bimi_I	bimi_I	b i m i	None	508		['b', 'i', 'm', 'i', '(', '-', ')']	149
1462	Marinawa	fruit	ɸimi	ɸimi	ɸ i m i	None	508		['ɸ', 'i', 'm', 'i', '(', '-', ')']	149
1463	Yawanawa	fruit	βimi	βimi	β i m i	None	508		['β', 'i', 'm', 'i', '(', '-', ')']	149
6216	Proto-Panoan	fur	ʂopoCc	ʂopoCc	ʂ o p o tʳ	None	373		['ʂ', 'o', 'p', 'o', 'tʳ', '(', '-', ')']	151
6217	Kakataibo	fur	ʂopó	ʂopó	ʂ o p ó/o	None	373		['ʂ', 'o', 'p', 'ó/o', '-', '(', '-', ')']	151
6218	ShipiboKonibo	fur	ʂopó	ʂopó	ʂ o p ó/o	None	373		['ʂ', 'o', 'p', 'ó/o', '-', '(', '-', ')']	151
6219	Kapanawa	fur	ʂopó	ʂopó	ʂ o p ó/o	None	373		['ʂ', 'o', 'p', 'ó/o', '-', '(', '-', ')']	151
6220	Chakobo	fur	ˈʂopo	ˈʂopo	ʂ o p o	None	373		['ʂ', 'o', 'p', 'o', '-', '(', '-', ')']	151
6221	Sharanawa	fur	ʂopo	ʂopo	ʂ o p o	None	373		['ʂ', 'o', 'p', 'o', '-', '(', '-', ')']	151
6222	Sharanawa	fur	ʂopon	ʂopon	ʂ o p o n	None	373		['ʂ', 'o', 'p', 'o', '-', '(', 'n', ')']	151
6223	Amawaka	fur	xopo	xopo	x o p o	II	373		['x', 'o', 'p', 'o', '-', '(', '-', ')']	151
6224	Kaxinawa	fur	ʂupu	ʂupu	ʂ u p u	None	373		['ʂ', 'u', 'p', 'u', '-', '(', '-', ')']	151
6225	Marinawa	fur	ʂópo	ʂópo	ʂ ó/o p o	None	373		['ʂ', 'ó/o', 'p', 'o', '-', '(', '-', ')']	151
6226	Mayoruna	fur	ʂuˈpud	ʂuˈpud	ʂ u p u d	None	652		['ʂ', 'u', 'p', 'u', 'd', '(', '-', ')']	151
1651	Korubo	genipa	βompa	βompa	β o m.p a	None	706		['β', 'o', 'm.p', 'a']	153
3774	Proto-Panoan	genipa	[n]a[n]ɨ	[n]a[n]ɨ	rⁿ a rⁿ ɨ	None	181		['rⁿ', 'a', 'rⁿ', 'ɨ', '(', '-', ')']	152
3775	Kakataibo	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3776	ShipiboKonibo	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3777	Kapanawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3778	Marubo	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3779	Chakobo	genipa	ˈnanɨ	ˈnanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3780	Chaninawa	genipa	dadɨ	dadɨ	d a d ɨ	None	181		['d', 'a', 'd', 'ɨ', '(', '-', ')']	152
3781	Sharanawa	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
3782	Sharanawa	genipa	nanɨn	nanɨn	n a n ɨ n	None	181		['n', 'a', 'n', 'ɨ', '(', 'n', ')']	152
3783	Katukina	genipa	nanɨ	nanɨ	n a n ɨ	None	181		['n', 'a', 'n', 'ɨ', '(', '-', ')']	152
